,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
BOOTP_hlen,1.7251673657618653e-05,1.9365176371858083e-07,,99.6,0.0,0.0014915163170750034
BOOTP_hops,0.0,0.0,,,0.0,0.0
BOOTP_xid,2.9232967807312813e-07,1.167554047496136e-06,,24499836140.799995,0.0,0.0
BOOTP_secs,0.0,0.0,,2.1999999999999993,0.0,0.0016256366297304758
BOOTP_flags,5.075991503321616e-07,0.0,,0.403240058910162,0.0,0.001533066825295748
BOOTP_sname,0.0,5.67334288964414e-07,,16.599999999999998,0.0,0.007535829485461054
BOOTP_file,4.411265283696529e-08,6.389923424656049e-06,,16.599999999999998,0.0,0.0
BOOTP_options,2.2160314570700913e-06,3.7251270498572713e-07,,16.599999999999998,0.0,0.002857181275009113
DNS_length,0.0,0.0,,,0.0,0.0
DNS_id,0.0008440346261474767,0.0008251053096653186,,263288.20398613263,0.0,0.011001324468450147
DNS_qr,2.3998454419488635e-06,0.0005594249909006416,,64.8,0.0,0.0030757901106501784
DNS_opcode,0.0,0.0,,,0.0,0.0
DNS_aa,0.00019240936761665619,0.0003303560975350137,,66.19999999999997,0.0,0.003720624315630916
DNS_tc,0.0,0.0,,,0.0,0.006727049293288712
DNS_rd,3.842112661723461e-05,0.00019321069975873005,,30.269565217391307,0.0,0.0037400106724343463
DNS_ra,0.0,0.0,,,0.0,0.0
DNS_z,0.0,0.0,,,0.0,0.0029951879256195912
DNS_ad,0.0,0.0,,,0.0,0.004085371261836279
DNS_cd,0.0,0.0,,,0.0,0.0
DNS_rcode,0.0,0.0,,,0.0,0.004946718016420215
DNS_qdcount,5.803743760857215e-05,0.0001956870572408487,,135.8439024390244,0.0,0.012619186947710137
DNS_ancount,0.00015553852453390694,1.5198929157267883e-05,,342.6,0.0,0.007698656456203601
DNS_nscount,5.848365148668697e-05,1.5441037121424214e-05,,172.59999999999994,0.0,0.00667260527177671
DNS_arcount,0.0,1.7218619066742488e-08,,2.1999999999999993,0.0,0.0
sport_class,0.024834185393664485,0.03862362408440514,,728.332289240224,0.0,0.09210193240271214
dport_class,0.07311001448057092,0.09934603721574214,,169.94002812474116,0.0,0.24505488559663213
sport_bare,0.09443322809640342,0.09591872038481306,,23944610.46026375,0.0,0.4239197768411692
dport_bare,0.07215660272638073,0.058799824836863246,,12306912.937553495,0.0,0.24298367886880157
TCP_sport,0.13778074457639758,0.11479512579288079,,38217786.59022893,0.08491035212719453,0.41669887676937933
TCP_dport,0.06206286384878398,0.07411409281242368,,11265696.820410563,0.0,0.23711690210255099
UDP_sport,0.005400982917776547,0.0038081511021951743,,3542896.3439385435,0.0,0.0464085199472708
UDP_dport,0.0014019940070747752,0.0006069784565305785,,1041714.9559948063,0.0,0.03835610379506815
payload_bytes,0.08708157876073307,0.08150847641697029,,690.7170561423547,0.0,0.22676733215943568
entropy,0.043893741010905415,0.017513224556075263,,65.4793234608582,0.0,0.11879266423919033
Protocol,0.0799640273187002,0.061471150412577016,,578.9055658477648,0.0,0.10849852716099284
0,,,IP_len,,,
1,,,TCP_seq,,,
2,,,TCP_window,,,
3,,,dport_class,,,
4,,,sport_bare,,,
5,,,dport_bare,,,
6,,,TCP_sport,,,
7,,,TCP_dport,,,
8,,,payload_bytes,,,
9,,,Protocol,,,
