,Random_Forest,Extra_Trees,RFE,Chi_Square,Lasso,Mutual_Info
entropy,0.05603305176814532,0.04919750014885955,,2.0883275967435035,0.0,0.14533573819716517
Protocol,0.02038625150636209,0.02063830648624828,,62.17516789886555,0.0,0.06582665945689103
0,,,pck_size,,,
1,,,IP_id,,,
2,,,sport_class,,,
3,,,dport_class,,,
4,,,sport_bare,,,
5,,,dport_bare,,,
6,,,TCP_sport,,,
7,,,TCP_dport,,,
8,,,payload_bytes,,,
9,,,entropy,,,
